country|category|currency|iids|esID|s|importance|name|type|group|frequency|unit|pretty_name|url
|Imports|USD|te:comtrade:usafinxx521|te:comtrade:usafinxx521|usafinxx521:comtrade|26|United States Imports from Finland of Cotton|comtrade||Annual||United States Imports from Finland of Cotton|/united-states/imports/finland/cotton
|Exports|USD|te:comtrade:usafinxx522|te:comtrade:usafinxx522|usafinxx522:comtrade|26|United States exports of cotton to Finland|comtrade||Annual||United States exports of cotton to Finland|/united-states/exports/finland/cotton
|Imports|USD|te:comtrade:usafinxx551|te:comtrade:usafinxx551|usafinxx551:comtrade|26|United States Imports from Finland of Manmade staple fibers|comtrade||Annual||United States Imports from Finland of Manmade staple fibers|/united-states/imports/finland/manmade-staple-fibers
|Exports|USD|te:comtrade:usafinxx552|te:comtrade:usafinxx552|usafinxx552:comtrade|26|United States exports of manmade staple fibers to Finland|comtrade||Annual||United States exports of manmade staple fibers to Finland|/united-states/exports/finland/manmade-staple-fibers
|Imports|USD|te:comtrade:usafinxx561|te:comtrade:usafinxx561|usafinxx561:comtrade|26|United States Imports from Finland of Wadding, felt, nonwovens, yarns, twine, cordage|comtrade||Annual||United States Imports from Finland of Wadding, felt, nonwovens, yarns, twine, cordage|/united-states/imports/finland/wadding-felt-nonwovens-yarns-twine-cordage
|Exports|USD|te:comtrade:usafinxx562|te:comtrade:usafinxx562|usafinxx562:comtrade|26|United States exports of wadding, felt, nonwovens, yarns, twine, cordage to Finland|comtrade||Annual||United States exports of wadding, felt, nonwovens, yarns, twine, cordage to Finland|/united-states/exports/finland/wadding-felt-nonwovens-yarns-twine-cordage
|Exports|USD|te:comtrade:usafinxx612|te:comtrade:usafinxx612|usafinxx612:comtrade|26|United States exports of articles of apparel, knit or crocheted to Finland|comtrade||Annual||United States exports of articles of apparel, knit or crocheted to Finland|/united-states/exports/finland/articles-apparel-accessories-knit-crocheted
|Imports|USD|te:comtrade:usafinxx621|te:comtrade:usafinxx621|usafinxx621:comtrade|26|United States Imports from Finland of Articles of apparel, not knit or crocheted|comtrade||Annual||United States Imports from Finland of Articles of apparel, not knit or crocheted|/united-states/imports/finland/articles-apparel-accessories-not-knit-crocheted
|Imports|USD|te:comtrade:usafinxx661|te:comtrade:usafinxx661|usafinxx661:comtrade|26|United States Imports from Finland of Umbrellas, walking-sticks, seat-sticks, whips|comtrade||Annual||United States Imports from Finland of Umbrellas, walking-sticks, seat-sticks, whips|/united-states/imports/finland/umbrellas-walking-sticks-seat-sticks-whips
|Imports|USD|te:comtrade:usafinxx731|te:comtrade:usafinxx731|usafinxx731:comtrade|26|United States Imports from Finland of Articles of iron or steel|comtrade||Annual||United States Imports from Finland of Articles of iron or steel|/united-states/imports/finland/articles-iron-steel
|Imports|USD|te:comtrade:usafinxx751|te:comtrade:usafinxx751|usafinxx751:comtrade|26|United States Imports from Finland of Nickel|comtrade||Annual||United States Imports from Finland of Nickel|/united-states/imports/finland/nickel
|Exports|USD|te:comtrade:usafinxx762|te:comtrade:usafinxx762|usafinxx762:comtrade|26|United States exports of aluminum to Finland|comtrade||Annual||United States exports of aluminum to Finland|/united-states/exports/finland/aluminum
|Imports|USD|te:comtrade:usafinxx791|te:comtrade:usafinxx791|usafinxx791:comtrade|26|United States Imports from Finland of Zinc|comtrade||Annual||United States Imports from Finland of Zinc|/united-states/imports/finland/zinc
|Exports|USD|te:comtrade:usafinxx812|te:comtrade:usafinxx812|usafinxx812:comtrade|26|United States exports of base metals not specified elsewhere, cermets. to Finland|comtrade||Annual||United States exports of base metals not specified elsewhere, cermets. to Finland|/united-states/exports/finland/other-base-metals-cermets
|Imports|USD|te:comtrade:usafinxx841|te:comtrade:usafinxx841|usafinxx841:comtrade|26|United States Imports from Finland of Machinery, nuclear reactors, boilers|comtrade||Annual||United States Imports from Finland of Machinery, nuclear reactors, boilers|/united-states/imports/finland/nuclear-reactors-boilers-machinery
|Imports|USD|te:comtrade:usafinxx871|te:comtrade:usafinxx871|usafinxx871:comtrade|26|United States Imports from Finland of Vehicles other than railway, tramway|comtrade||Annual||United States Imports from Finland of Vehicles other than railway, tramway|/united-states/imports/finland/vehicles-not-railway-tramway
|Exports|USD|te:comtrade:usafinxx872|te:comtrade:usafinxx872|usafinxx872:comtrade|26|United States exports of vehicles other than railway, tramway to Finland|comtrade||Annual||United States exports of vehicles other than railway, tramway to Finland|/united-states/exports/finland/vehicles-not-railway-tramway
